value,params_ccp_alpha,params_dropout_rate,params_learning_rate,params_max_depth,params_max_features,params_max_leaf_nodes,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_n_iter_no_change,params_subsample,params_tol,params_validation_fraction
0.9323004299324416,3.3871709035251104e-06,0.010036429957328522,0.1837519613014778,5,1.0,,0.0013674337286232081,20,10,154,,0.8227594427115772,0.00012941456419453569,0.23753095441287392
0.9318267296785097,1.1852307572876997e-08,0.014364803839680033,0.11084433510623498,6,,,0.022980879449471827,13,17,358,,0.8496042822761346,0.00016110519419497568,0.2532127272749781
0.9311856866529172,1.8936728953689942e-08,0.004626713069578764,0.11699202027024141,6,,,0.012319604484877579,15,20,381,,0.7385131115764585,0.0005211020769535831,0.28586801544617846
0.930480673648655,4.793501629783592e-07,0.002454198761126389,0.0884582719922369,5,,,0.0036521903485397956,18,14,219,,0.7724773709881685,0.00010674902389036046,0.2657608981851276
0.9299772771236257,8.28096517155855e-05,0.009794868601378178,0.10561791148150505,5,1.0,31.0,0.021336281278092933,15,3,220,,0.6100978331397396,8.936595956895943e-05,0.23980810905930197
0.9282686906951538,0.0003644074672287631,0.025270238679152048,0.17151796276700257,5,sqrt,16.0,0.02031308317586048,11,9,143,,0.8783191847992549,0.003891163132203794,0.26907988567764407
0.9282039252189938,0.0001806152818118141,0.005148150248399659,0.19210351463018993,4,0.3,16.0,0.0018170289433215511,10,14,95,,0.9343885689939432,0.0007033641542197815,0.2834361032161506
0.9277872557094936,4.153543270235319e-06,0.009718120632279186,0.1521410630771851,4,,,0.0007432338708860779,8,18,114,,0.7999644024350641,0.00026954248115612645,0.24323499970199142
0.9276923293466306,9.123540255663671e-07,0.008525817530630687,0.1337915947417126,6,,,0.017615348931671597,9,19,403,,0.7227540676726862,0.006160386181479649,0.25490519161809244
0.9270582672207297,0.005659304081058424,0.0060778171824417805,0.11034352336719151,2,,,0.034641176879482934,16,2,277,,0.508669823386577,4.618028635029945e-05,0.2332823405318428
0.9267972830294969,2.380130849572885e-06,0.018292823764411555,0.17418038845086328,4,0.7,31.0,0.0003136693383547842,17,7,94,,0.8597340972244488,2.2279007805360333e-05,0.22092528776312934
0.9248689629986033,0.0012860225030214224,0.02351031852710566,0.17262828804801217,5,sqrt,16.0,0.0074206531850163045,16,4,398,20.0,0.9258106327728596,0.0003563653205888361,0.27148505419129815
0.9248454476400223,1.3437097020650234e-08,0.03462428736152589,0.14506729183116424,5,,,0.02683885861415938,13,19,439,,0.5274432716381701,0.002358182893556926,0.24964000821173013
0.924835885268048,1.3969356687776769e-05,0.028802468648190645,0.18269809994344602,5,,,0.014258672490232265,6,19,79,,0.865099197112177,5.789550787925149e-05,0.192124396982476
0.9243721774092617,0.0006453564497780598,0.012183067954113948,0.16711514170169095,4,,,0.008371707737425252,4,15,110,,0.6502959361139755,0.00042102224962736203,0.21801524743448275
0.9241534594424243,4.995832160270303e-05,0.01631106523910115,0.1941333084863684,5,sqrt,16.0,0.010746097350123092,13,2,465,20.0,0.8150672633697418,0.0019474496974425334,0.2738867067926874
0.9236484077424612,9.668039545105506e-05,0.035588515868980125,0.18943899797370975,6,,16.0,0.008000666918961157,12,9,61,,0.8584528727749183,0.0013588987419060022,0.2546729483875846
0.923134497218878,0.00259994742882628,0.003027295693619047,0.1994688867730682,5,0.3,8.0,0.003635409817128229,14,12,266,20.0,0.8027976067701216,0.0001466084552696559,0.2140549760749424
0.9229885984461517,0.0033278119093556437,0.011909087251331094,0.13082287662948755,3,1.0,,0.03891807225328728,17,2,169,,0.5714263842692335,1.1871936117343126e-05,0.2926542990281836
0.9227537654246791,1.1864206388001995e-05,0.0073567733287715955,0.18236984432353326,5,,,0.013115803102438092,2,14,118,,0.5160338901320245,0.00037607392351881116,0.2280631525807286
